Boat_Type,Type,Year_Built,Length,Width,Displacement,Category,People,Cabins,Toilets,Material,Water,Propulsion,Fuel_Capacity,Fuel_Type,Engine_Hours,Price
6.0,1.0,2020.0,4.2,1.85,832.4,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5200.0
1.0,0.0,1968.0,4.05,1.58,774.6,1.0,4.0,0.0,0.0,3.0,0.0,2.0,12.0,0.0,474.3,5140.2
0.0,1.0,2020.0,4.0,1.65,777.3,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5140.2
0.0,0.0,1998.0,4.0,1.0,330.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6693.5
1.0,0.0,1987.0,3.95,1.55,200.0,1.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,474.3,6729.0
6.0,0.0,2007.0,5.0,2.0,530.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6653.2
0.0,0.0,1972.0,5.5,1.9,670.0,3.0,5.0,0.0,0.0,3.0,0.0,3.0,60.0,3.0,474.3,6590.0
1.0,0.0,1986.0,6.02,2.37,1154.3,3.0,6.0,1.0,0.0,3.0,0.0,3.0,100.0,3.0,705.0,6542.1
4.0,0.0,1990.0,6.28,2.27,1176.3,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,300.0,6500.0
0.0,1.0,2018.0,5.7,2.2,450.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6500.0
0.0,0.0,2010.0,5.0,2.15,983.7,1.0,9.0,0.0,0.0,3.0,0.0,2.0,70.0,3.0,474.3,6500.0
4.0,0.0,1968.0,8.0,2.1,1800.0,1.0,0.0,0.0,0.0,3.0,70.0,2.0,60.0,3.0,474.3,6500.0
1.0,0.0,1991.0,4.5,2.1,600.0,1.0,6.0,0.0,0.0,3.0,0.0,2.0,120.0,3.0,180.0,6500.0
0.0,0.0,1975.0,6.67,2.04,410.0,3.0,6.0,0.0,0.0,6.0,0.0,2.0,0.0,3.0,50.0,6500.0
1.0,0.0,2018.0,3.2,1.5,646.6,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6542.1
4.0,0.0,1980.0,7.26,2.9,2800.0,2.0,8.0,1.0,0.0,3.0,0.0,3.0,250.0,3.0,1593.0,6542.1
0.0,0.0,2000.0,4.15,1.65,798.0,1.0,4.0,0.0,0.0,3.0,0.0,2.0,25.0,3.0,474.3,6542.1
1.0,1.0,2019.0,5.2,2.06,998.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0
1.0,0.0,2002.0,4.6,1.8,300.0,3.0,5.0,0.0,0.0,2.0,0.0,2.0,37.0,3.0,474.3,7850.5
1.0,0.0,1986.0,4.28,1.65,400.0,3.0,5.0,0.0,0.0,2.0,0.0,2.0,14.0,3.0,10.0,7757.0
4.0,0.0,1941.0,8.23,2.65,7934.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,700.0,5950.0
0.0,0.0,1985.0,4.5,2.1,908.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,3.0,0.0,7640.0
0.0,1.0,2020.0,4.45,1.85,300.0,3.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,7621.5
0.0,0.0,1996.0,4.5,1.7,853.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,7500.0
4.0,0.0,1971.0,8.5,2.2,5000.0,1.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,5720.0,7500.0
1.0,0.0,1997.0,5.8,2.2,1100.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7500.0
1.0,0.0,1971.0,5.7,2.2,1086.9,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,7500.0
1.0,0.0,1994.0,5.5,2.45,1093.8,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,7500.0
4.0,0.0,1981.0,6.4,2.54,1230.0,3.0,0.0,1.0,0.0,3.0,0.0,3.0,140.0,3.0,474.3,7500.0
0.0,0.0,2005.0,5.23,2.15,1015.4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,7500.0
1.0,0.0,1995.0,5.8,2.28,1111.7,1.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,550.0,7500.0
0.0,0.0,2010.0,4.4,3.0,1018.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0
1.0,1.0,2019.0,4.4,1.65,250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8790.0
0.0,1.0,2020.0,4.8,1.8,908.0,1.0,5.0,0.0,0.0,3.0,0.0,2.0,12.0,3.0,0.0,8878.5
1.0,0.0,1976.0,5.85,2.3,1121.3,1.0,6.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,474.3,8785.0
1.0,0.0,2019.0,5.0,2.1,976.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
1.0,1.0,2018.0,5.3,2.2,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
1.0,1.0,2020.0,4.8,1.9,370.0,1.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,8658.9
1.0,0.0,1990.0,5.18,2.18,1012.6,1.0,5.0,0.0,0.0,3.0,0.0,3.0,60.0,3.0,474.3,8598.1
0.0,1.0,2018.0,5.53,2.18,495.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500.0
0.0,0.0,1975.0,4.0,1.62,773.2,1.0,4.0,0.0,0.0,3.0,0.0,2.0,59.0,3.0,20.0,8500.0
0.0,0.0,2001.0,5.0,1.98,960.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,780.0,8500.0
0.0,0.0,2018.0,5.3,2.2,500.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8500.0
1.0,0.0,1994.0,5.74,2.31,1107.5,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,8500.0
0.0,0.0,2006.0,5.8,2.5,1141.9,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,1160.0,8500.0
1.0,0.0,2016.0,3.1,1.4,619.1,3.0,2.0,0.0,0.0,3.0,0.0,2.0,35.0,3.0,474.3,8500.0
0.0,0.0,2005.0,5.3,2.33,1049.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8500.0
1.0,0.0,1998.0,7.9,2.5,2850.0,1.0,4.0,1.0,0.0,2.0,205.0,3.0,230.0,3.0,385.0,8500.0
1.0,0.0,2019.0,3.38,1.36,52.0,1.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,3.0,474.3,9813.1
3.0,0.0,1980.0,8.5,3.0,8386.2,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9750.0
